Turbidity,Nitrogen,E.Coli,Phosphorus,period
39,39,39,306,1990-2017
39,39,39,223,1998-2017
39,39,39,39,2008-2017
40,40,40,40,2008-2017
40,40,40,221,1998-2017
117,117,117,238,1998-2017
117,117,117,117,2008-2017
40,40,40,227,1998-2017
40,40,40,40,2008-2017
40,220,40,220,1998-2017
40,220,40,40,2008-2017
40,40,40,220,1998-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
40,40,40,311,1990-2017
40,40,40,228,1998-2017
117,117,117,117,2008-2017
117,117,117,244,1998-2017
117,117,117,117,2008-2017
117,117,117,243,1998-2017
118,118,118,118,2008-2017
40,40,40,317,1990-2017
40,40,40,234,1998-2017
40,40,40,40,2008-2017
118,118,118,246,1998-2017
118,118,118,118,2008-2017
118,118,118,101,1990-2017
118,247,118,118,2008-2017
118,247,118,101,1990-2017
118,247,118,246,1998-2017
119,247,119,319,1990-2017
119,318,119,319,1990-2017
119,247,119,246,1998-2017
119,318,119,119,2008-2017
119,118,119,246,1998-2017
119,118,119,319,1990-2017
119,118,119,119,2008-2017
119,247,119,119,2008-2017
119,318,119,246,1998-2017
120,120,120,307,1990-2017
120,120,120,247,1998-2017
120,120,120,120,2008-2017
117,117,117,117,2008-2017
117,117,117,238,1998-2017
117,117,117,321,1990-2017
119,119,119,101,1990-2017
119,247,119,101,1990-2017
119,247,119,119,2008-2017
119,119,119,119,2008-2017
119,247,119,246,1998-2017
119,119,119,246,1998-2017
119,119,119,246,1998-2017
119,248,119,246,1998-2017
119,119,119,119,2008-2017
119,248,119,101,1990-2017
119,248,119,119,2008-2017
119,119,119,101,1990-2017
117,117,116,117,2008-2017
117,117,116,245,1998-2017
117,117,117,117,2008-2017
117,117,117,244,1998-2017
118,118,118,118,2008-2017
40,40,40,40,2008-2017
40,40,40,227,1998-2017
40,40,40,311,1990-2017
118,118,118,118,2008-2017
36,36,36,36,2008-2017
36,36,36,36,2008-2017
36,36,36,36,2008-2017
36,36,36,36,2008-2017
36,36,36,36,2008-2017
108,108,108,108,2008-2017
119,36,119,116,2008-2017
119,36,118,117,2008-2017
119,36,119,117,2008-2017
111,36,111,37,2008-2017
111,36,111,108,2008-2017
111,36,111,108,2008-2017
111,108,111,109,2008-2017
119,36,120,117,2008-2017
111,108,111,109,2008-2017
120,36,120,117,2008-2017
118,36,118,116,2008-2017
120,108,119,120,2008-2017
120,108,119,120,2008-2017
120,36,119,120,2008-2017
120,36,119,120,2008-2017
36,108,36,110,2008-2017
120,119,120,120,2008-2017
37,37,37,37,2008-2017
115,115,116,116,2008-2017
116,116,117,117,2008-2017
119,118,116,118,2008-2017
116,238,243,245,1998-2017
116,238,114,109,1990-2017
116,238,108,109,1990-2017
116,108,114,109,1990-2017
116,116,243,245,1998-2017
116,108,108,116,2008-2017
116,238,243,109,1990-2017
116,238,114,245,1998-2017
116,108,114,116,2008-2017
116,238,108,116,2008-2017
116,238,108,245,1998-2017
116,116,114,116,2008-2017
116,116,243,109,1990-2017
116,108,108,109,1990-2017
116,108,243,109,1990-2017
116,116,243,116,2008-2017
116,238,243,116,2008-2017
116,116,108,109,1990-2017
116,116,114,245,1998-2017
116,108,114,245,1998-2017
116,108,243,116,2008-2017
116,116,108,116,2008-2017
116,238,114,116,2008-2017
116,108,243,245,1998-2017
116,116,114,109,1990-2017
116,116,108,245,1998-2017
116,108,108,245,1998-2017
119,110,247,110,1990-2017
119,119,108,110,1990-2017
119,119,117,249,1998-2017
119,119,247,249,1998-2017
119,119,117,119,2008-2017
119,119,247,119,2008-2017
119,243,247,249,1998-2017
119,243,247,119,2008-2017
119,119,247,110,1990-2017
119,243,108,249,1998-2017
119,110,108,110,1990-2017
119,110,108,249,1998-2017
119,110,117,110,1990-2017
119,243,117,249,1998-2017
119,110,108,119,2008-2017
119,110,117,119,2008-2017
119,243,117,110,1990-2017
119,243,247,110,1990-2017
119,243,117,119,2008-2017
119,119,117,110,1990-2017
119,110,247,249,1998-2017
119,243,108,119,2008-2017
119,243,108,110,1990-2017
119,119,108,119,2008-2017
119,110,117,249,1998-2017
119,110,247,119,2008-2017
119,119,108,249,1998-2017
115,116,117,117,2008-2017
117,101,244,247,1998-2017
117,118,116,118,2008-2017
117,101,244,101,1990-2017
117,101,116,101,1990-2017
117,238,244,101,1990-2017
117,101,244,118,2008-2017
117,118,244,118,2008-2017
117,118,116,101,1990-2017
117,101,116,247,1998-2017
117,118,116,247,1998-2017
117,238,244,247,1998-2017
117,238,116,118,2008-2017
117,238,244,118,2008-2017
117,101,116,118,2008-2017
117,118,244,101,1990-2017
117,238,116,101,1990-2017
117,238,116,247,1998-2017
117,118,244,247,1998-2017
39,39,39,39,2008-2017
112,114,114,114,2008-2017
114,114,114,114,2008-2017
118,110,117,118,2008-2017
118,118,108,237,1998-2017
118,110,238,118,2008-2017
118,110,108,237,1998-2017
118,233,238,237,1998-2017
118,233,238,110,1990-2017
118,118,238,118,2008-2017
118,110,108,110,1990-2017
118,233,108,237,1998-2017
118,110,238,110,1990-2017
118,110,117,237,1998-2017
118,110,117,110,1990-2017
118,118,117,110,1990-2017
118,233,108,118,2008-2017
118,118,238,237,1998-2017
118,233,238,118,2008-2017
118,233,117,110,1990-2017
118,118,108,118,2008-2017
118,233,108,110,1990-2017
118,233,117,118,2008-2017
118,110,108,118,2008-2017
118,233,117,237,1998-2017
118,118,108,110,1990-2017
118,118,117,118,2008-2017
118,118,117,237,1998-2017
118,118,238,110,1990-2017
118,110,238,237,1998-2017
117,84,84,84,1998-2017
117,117,116,117,2008-2017
117,117,84,117,2008-2017
117,84,84,117,2008-2017
117,117,84,84,1998-2017
117,117,116,84,1998-2017
117,84,116,84,1998-2017
117,84,116,117,2008-2017
116,116,116,116,2008-2017
120,120,120,120,2008-2017
120,119,120,120,2008-2017
120,120,120,120,2008-2017
120,120,120,120,2008-2017
113,113,111,113,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
39,39,39,39,2008-2017
38,38,38,38,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
40,84,40,40,2008-2017
40,84,40,81,1998-2017
40,40,40,81,1998-2017
40,40,40,40,2008-2017
40,83,40,40,2008-2017
40,83,40,80,1998-2017
40,40,40,40,2008-2017
40,40,40,80,1998-2017
40,84,40,40,2008-2017
40,40,40,81,1998-2017
40,84,40,81,1998-2017
40,40,40,40,2008-2017
38,82,38,79,1998-2017
38,82,38,38,2008-2017
38,38,38,38,2008-2017
38,38,38,79,1998-2017
39,83,39,39,2008-2017
39,39,39,80,1998-2017
39,39,39,39,2008-2017
39,83,39,80,1998-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
40,75,40,40,2008-2017
40,40,40,73,1998-2017
40,40,40,40,2008-2017
40,75,40,73,1998-2017
40,83,40,40,2008-2017
40,83,40,80,1998-2017
40,40,40,40,2008-2017
40,40,40,80,1998-2017
40,81,40,78,1998-2017
40,40,40,40,2008-2017
40,40,40,78,1998-2017
40,81,40,40,2008-2017
40,40,40,40,2008-2017
39,39,39,39,2008-2017
40,78,40,75,1998-2017
40,78,40,40,2008-2017
40,40,40,40,2008-2017
40,40,40,75,1998-2017
40,78,40,40,2008-2017
40,78,40,75,1998-2017
40,40,40,40,2008-2017
40,40,40,75,1998-2017
40,40,40,40,2008-2017
40,40,40,73,1998-2017
40,75,40,73,1998-2017
40,75,40,40,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
40,40,39,77,1998-2017
40,80,39,40,2008-2017
40,40,39,40,2008-2017
40,80,39,77,1998-2017
40,40,40,40,2008-2017
40,40,40,81,1998-2017
40,84,40,40,2008-2017
40,84,40,81,1998-2017
40,84,40,81,1998-2017
40,84,40,40,2008-2017
40,40,40,81,1998-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
39,39,39,39,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
40,39,40,39,2008-2017
39,40,40,40,2008-2017
39,40,40,40,2008-2017
39,40,40,40,2008-2017
39,40,40,40,2008-2017
39,40,40,40,2008-2017
118,118,117,118,2008-2017
118,118,117,102,1990-2017
118,118,117,246,1998-2017
118,246,117,118,2008-2017
118,246,117,102,1990-2017
118,246,117,246,1998-2017
119,119,118,119,2008-2017
119,119,118,247,1998-2017
119,247,118,247,1998-2017
119,247,118,119,2008-2017
119,119,40,247,1998-2017
119,247,40,101,1990-2017
119,119,40,101,1990-2017
119,247,40,119,2008-2017
119,247,40,247,1998-2017
119,119,40,119,2008-2017
40,40,40,40,2008-2017
40,80,40,40,2008-2017
40,80,40,80,1998-2017
40,40,40,80,1998-2017
40,40,40,40,2008-2017
40,40,40,82,1998-2017
40,82,40,40,2008-2017
40,82,40,82,1998-2017
40,40,40,40,2008-2017
119,247,118,119,2008-2017
119,247,118,247,1998-2017
119,119,118,247,1998-2017
119,119,118,119,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
119,247,118,119,2008-2017
119,119,118,101,1990-2017
119,247,118,247,1998-2017
119,119,118,119,2008-2017
119,119,118,247,1998-2017
119,247,118,101,1990-2017
40,84,40,40,2008-2017
40,84,40,102,1990-2017
40,84,40,84,1998-2017
40,40,40,40,2008-2017
40,40,40,102,1990-2017
40,40,40,84,1998-2017
116,246,116,102,1990-2017
116,116,116,102,1990-2017
116,246,116,245,1998-2017
116,116,116,116,2008-2017
116,116,116,245,1998-2017
116,246,116,116,2008-2017
40,82,40,82,1998-2017
40,40,40,82,1998-2017
40,40,40,40,2008-2017
40,82,40,40,2008-2017
40,40,40,40,2008-2017
40,82,40,82,1998-2017
40,82,40,40,2008-2017
40,40,40,82,1998-2017
40,40,40,40,2008-2017
40,39,40,39,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
39,39,39,39,2008-2017
40,39,40,39,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
36,36,36,36,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
36,36,36,36,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
39,39,39,39,2008-2017
40,40,40,40,2008-2017
119,118,119,118,2008-2017
115,114,115,114,2008-2017
40,40,40,40,2008-2017
37,37,37,37,2008-2017
39,40,40,40,2008-2017
39,40,40,40,2008-2017
37,37,37,37,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
40,40,39,40,2008-2017
40,40,40,40,2008-2017
39,39,39,39,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
39,39,39,39,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
40,40,40,40,2008-2017
38,38,38,38,2008-2017
119,118,119,118,2008-2017
