"","num_id","s_id","E.Coli","Phosphorus","Nitrogen","dominant_landcover","Longitude","Latitude","Trend","percent_annual_change","Turbidity"
"1",1,"ARC-00001",39,306,39,"Native",174.5220565,-36.88883413,"Improving",">2% improving",39
"2",2,"ARC-00001",39,223,39,"Native",174.5220565,-36.88883413,"Improving",">2% improving",39
"3",3,"ARC-00001",39,39,39,"Native",174.5220565,-36.88883413,"Improving",">2% improving",39
"4",4,"ARC-00003",40,40,40,"Pastoral",174.5604402,-36.7765388,"Improving",">2% improving",40
"5",5,"ARC-00003",40,221,40,"Pastoral",174.5604402,-36.7765388,"Improving",">2% improving",40
"6",6,"ARC-00004",117,238,117,"Urban area",174.696142,-36.72304159,"Improving",">2% improving",117
"7",7,"ARC-00004",117,117,117,"Urban area",174.696142,-36.72304159,"Improving",">2% improving",117
"8",8,"ARC-00005",40,227,40,"Exotic forest",174.6486618,-36.44855751,"Indeterminate",">2% improving",40
"9",9,"ARC-00005",40,40,40,"Exotic forest",174.6486618,-36.44855751,"Indeterminate",">2% improving",40
"10",10,"ARC-00006",40,40,40,"Pastoral",174.6600469,-36.39952481,"Improving",">2% improving",40
"11",11,"ARC-00006",40,40,220,"Pastoral",174.6600469,-36.39952481,"Worsening",">2% worsening",40
"12",12,"ARC-00006",40,220,40,"Pastoral",174.6600469,-36.39952481,"Improving",">2% improving",40
"13",13,"ARC-00006",40,220,220,"Pastoral",174.6600469,-36.39952481,"Worsening",">2% worsening",40
"14",14,"ARC-00008",40,40,40,"Pastoral",174.7105353,-36.3445107699999,"Improving",">2% improving",40
"15",15,"ARC-00008",40,311,40,"Pastoral",174.7105353,-36.3445107699999,"Improving",">2% improving",40
"16",16,"ARC-00008",40,228,40,"Pastoral",174.7105353,-36.3445107699999,"Improving",">2% improving",40
"17",17,"ARC-00009",117,117,117,"Pastoral",174.9736209,-37.1954243299999,"Worsening","1-2% worsening",117
"18",18,"ARC-00009",117,244,117,"Pastoral",174.9736209,-37.1954243299999,"Worsening","1-2% worsening",117
"19",19,"ARC-00010",117,117,117,"Urban area",174.7050507,-36.87500973,"Improving",">2% improving",117
"20",20,"ARC-00010",117,243,117,"Urban area",174.7050507,-36.87500973,"Improving",">2% improving",117
"21",21,"ARC-00011",118,118,118,"Pastoral",174.6946043,-36.6851517,"Improving",">2% improving",118
"22",22,"ARC-00013",40,317,40,"Urban area",174.5946546,-36.89506569,"Improving",">2% improving",40
"23",23,"ARC-00013",40,234,40,"Urban area",174.5946546,-36.89506569,"Improving",">2% improving",40
"24",24,"ARC-00013",40,40,40,"Urban area",174.5946546,-36.89506569,"Improving",">2% improving",40
"25",25,"ARC-00014",118,118,118,"Urban area",174.8457406,-36.9668253199999,"Indeterminate","0-1% worsening",118
"26",26,"ARC-00014",118,101,247,"Urban area",174.8457406,-36.9668253199999,"Worsening",">2% worsening",118
"27",27,"ARC-00014",118,101,118,"Urban area",174.8457406,-36.9668253199999,"Indeterminate","0-1% worsening",118
"28",28,"ARC-00014",118,246,118,"Urban area",174.8457406,-36.9668253199999,"Indeterminate","0-1% worsening",118
"29",29,"ARC-00014",118,118,247,"Urban area",174.8457406,-36.9668253199999,"Worsening",">2% worsening",118
"30",30,"ARC-00014",118,246,247,"Urban area",174.8457406,-36.9668253199999,"Worsening",">2% worsening",118
"31",31,"ARC-00015",119,319,247,"Urban area",174.8806567,-36.96340205,"Indeterminate","0-1% improving",119
"32",32,"ARC-00015",119,119,247,"Urban area",174.8806567,-36.96340205,"Indeterminate","0-1% improving",119
"33",33,"ARC-00015",119,319,118,"Urban area",174.8806567,-36.96340205,"Indeterminate","1-2% improving",119
"34",34,"ARC-00015",119,119,318,"Urban area",174.8806567,-36.96340205,"Indeterminate","0-1% worsening",119
"35",35,"ARC-00015",119,246,118,"Urban area",174.8806567,-36.96340205,"Indeterminate","1-2% improving",119
"36",36,"ARC-00015",119,246,247,"Urban area",174.8806567,-36.96340205,"Indeterminate","0-1% improving",119
"37",37,"ARC-00015",119,246,318,"Urban area",174.8806567,-36.96340205,"Indeterminate","0-1% worsening",119
"38",38,"ARC-00015",119,319,318,"Urban area",174.8806567,-36.96340205,"Indeterminate","0-1% worsening",119
"39",39,"ARC-00015",119,119,118,"Urban area",174.8806567,-36.96340205,"Indeterminate","1-2% improving",119
"40",40,"ARC-00016",120,307,120,"Urban area",174.8907199,-36.95566215,"Improving",">2% improving",120
"41",41,"ARC-00016",120,247,120,"Urban area",174.8907199,-36.95566215,"Improving",">2% improving",120
"42",42,"ARC-00016",120,120,120,"Urban area",174.8907199,-36.95566215,"Improving",">2% improving",120
"43",43,"ARC-00017",117,117,117,"Urban area",174.6947376,-36.73199419,"Improving",">2% improving",117
"44",44,"ARC-00017",117,238,117,"Urban area",174.6947376,-36.73199419,"Improving",">2% improving",117
"45",45,"ARC-00017",117,321,117,"Urban area",174.6947376,-36.73199419,"Improving",">2% improving",117
"46",46,"ARC-00018",119,246,247,"Urban area",174.9080664,-36.9135907199999,"Worsening",">2% worsening",119
"47",47,"ARC-00018",119,119,119,"Urban area",174.9080664,-36.9135907199999,"Indeterminate","1-2% improving",119
"48",48,"ARC-00018",119,119,247,"Urban area",174.9080664,-36.9135907199999,"Worsening",">2% worsening",119
"49",49,"ARC-00018",119,101,119,"Urban area",174.9080664,-36.9135907199999,"Indeterminate","1-2% improving",119
"50",50,"ARC-00018",119,101,247,"Urban area",174.9080664,-36.9135907199999,"Worsening",">2% worsening",119
"51",51,"ARC-00018",119,246,119,"Urban area",174.9080664,-36.9135907199999,"Indeterminate","1-2% improving",119
"52",52,"ARC-00019",119,119,119,"Urban area",174.9029491,-36.93350176,"Worsening",">2% worsening",119
"53",53,"ARC-00019",119,246,248,"Urban area",174.9029491,-36.93350176,"Worsening",">2% worsening",119
"54",54,"ARC-00019",119,101,248,"Urban area",174.9029491,-36.93350176,"Worsening",">2% worsening",119
"55",55,"ARC-00019",119,119,248,"Urban area",174.9029491,-36.93350176,"Worsening",">2% worsening",119
"56",56,"ARC-00019",119,246,119,"Urban area",174.9029491,-36.93350176,"Worsening",">2% worsening",119
"57",57,"ARC-00019",119,101,119,"Urban area",174.9029491,-36.93350176,"Worsening",">2% worsening",119
"58",58,"ARC-00021",116,117,117,"Pastoral",174.9251679,-37.02798781,"Improving",">2% improving",117
"59",59,"ARC-00021",116,245,117,"Pastoral",174.9251679,-37.02798781,"Improving",">2% improving",117
"60",60,"ARC-00022",117,117,117,"Urban area",174.8703457,-36.9927674899999,"Improving",">2% improving",117
"61",61,"ARC-00022",117,244,117,"Urban area",174.8703457,-36.9927674899999,"Improving",">2% improving",117
"62",62,"ARC-00024",118,118,118,"Pastoral",174.739454,-36.68438762,"Improving",">2% improving",118
"63",63,"ARC-00026",40,40,40,"Pastoral",174.6606423,-36.5508813999999,"Improving",">2% improving",40
"64",64,"ARC-00026",40,227,40,"Pastoral",174.6606423,-36.5508813999999,"Improving",">2% improving",40
"65",65,"ARC-00026",40,311,40,"Pastoral",174.6606423,-36.5508813999999,"Improving",">2% improving",40
"66",66,"ARC-00027",118,118,118,"Pastoral",174.6577235,-36.5784597499999,"Improving",">2% improving",118
"67",67,"ARC-00028",36,36,36,"Pastoral",174.7398286,-37.2270569999999,"Indeterminate","0-1% worsening",36
"68",68,"ARC-00029",36,36,36,"Pastoral",174.8424849,-37.17048948,"Indeterminate","1-2% improving",36
"69",69,"ARC-00030",36,36,36,"Native",175.1007314,-37.09236018,"Improving",">2% improving",36
"70",70,"ARC-00031",36,36,36,"Exotic forest",174.5357421,-36.7359823599999,"Indeterminate","1-2% improving",36
"71",71,"ARC-00033",36,36,36,"Pastoral",174.5213655,-36.55759883,"Improving",">2% improving",36
"72",72,"ARC-00034",108,108,108,"Urban area",174.86288,-36.88050847,"Indeterminate","0-1% improving",108
"73",73,"CCC-00001",119,116,36,"Urban area",172.607143039645,-43.5205388507386,"Improving",">2% improving",119
"74",74,"CCC-00002",118,117,36,"Urban area",172.606912800299,-43.5217171712234,"Improving",">2% improving",119
"75",75,"CCC-00003",119,117,36,"Urban area",172.608167139613,-43.5228555508091,"Improving",">2% improving",119
"76",76,"CCC-00005",111,37,36,"Urban area",172.616582809408,-43.5319746913629,"Worsening",">2% worsening",111
"77",77,"CCC-00006",111,108,36,"Urban area",172.621618409949,-43.5338815106614,"Indeterminate","1-2% improving",111
"78",78,"CCC-00007",111,108,36,"Urban area",172.639752459984,-43.5280441411019,"Improving",">2% improving",111
"79",79,"CCC-00008",111,109,108,"Urban area",172.660679760413,-43.5130764610211,"Improving",">2% improving",111
"80",80,"CCC-00009",120,117,36,"Urban area",172.672840599418,-43.5215813613539,"Improving",">2% improving",119
"81",81,"CCC-00010",111,109,108,"Urban area",172.682610700532,-43.5028421811862,"Improving",">2% improving",111
"82",82,"CCC-00012",120,117,36,"Urban area",172.721444749668,-43.5092882811924,"Improving",">2% improving",120
"83",83,"CCC-00013",118,116,36,"Urban area",172.723932149484,-43.5252884612488,"Improving",">2% improving",118
"84",84,"CCC-00022",119,120,108,"Urban area",172.643315069598,-43.5703855413648,"Improving","1-2% improving",120
"85",85,"CCC-00023",119,120,108,"Urban area",172.666603039551,-43.5539299813105,"Improving",">2% improving",120
"86",86,"CCC-00026",119,120,36,"Urban area",172.691399960458,-43.5546470308336,"Indeterminate","0-1% improving",120
"87",87,"CCC-00027",119,120,36,"Urban area",172.708931450575,-43.558238810833,"Indeterminate","1-2% worsening",120
"88",88,"CCC-00039",36,110,108,"Pastoral",172.60298596014,-43.4523965510645,"Improving",">2% improving",36
"89",89,"CCC-00041",120,120,119,"Urban area",172.702286810073,-43.5503283405566,"Improving",">2% improving",120
"90",90,"EBOP-00003",37,37,37,"Pastoral",176.391024996516,-37.8381825623138,"Improving","1-2% improving",37
"91",91,"EBOP-00005",116,116,115,"Pastoral",176.10905100685,-37.7345190847611,"Indeterminate","0-1% worsening",115
"92",92,"EBOP-00006",117,117,116,"Pastoral",176.151710788233,-37.6981654963477,"Improving","0-1% improving",116
"93",93,"EBOP-00007",116,118,118,"Pastoral",176.344899232591,-38.0171952726902,"Improving","1-2% improving",119
"94",94,"EBOP-00010",114,245,108,"Pastoral",176.212236339448,-38.0823617836286,"Improving","0-1% improving",116
"95",95,"EBOP-00010",243,109,238,"Pastoral",176.212236339448,-38.0823617836286,"Improving","0-1% improving",116
"96",96,"EBOP-00010",243,109,108,"Pastoral",176.212236339448,-38.0823617836286,"Improving","0-1% improving",116
"97",97,"EBOP-00010",108,245,238,"Pastoral",176.212236339448,-38.0823617836286,"Improving","0-1% improving",116
"98",98,"EBOP-00010",114,109,108,"Pastoral",176.212236339448,-38.0823617836286,"Improving","0-1% improving",116
"99",99,"EBOP-00010",108,116,108,"Pastoral",176.212236339448,-38.0823617836286,"Improving","0-1% improving",116
"100",100,"EBOP-00010",114,245,116,"Pastoral",176.212236339448,-38.0823617836286,"Indeterminate","0-1% improving",116
"101",101,"EBOP-00010",114,245,238,"Pastoral",176.212236339448,-38.0823617836286,"Improving","0-1% improving",116
"102",102,"EBOP-00010",108,245,116,"Pastoral",176.212236339448,-38.0823617836286,"Indeterminate","0-1% improving",116
"103",103,"EBOP-00010",243,245,108,"Pastoral",176.212236339448,-38.0823617836286,"Improving","0-1% improving",116
"104",104,"EBOP-00010",243,245,116,"Pastoral",176.212236339448,-38.0823617836286,"Indeterminate","0-1% improving",116
"105",105,"EBOP-00010",114,116,116,"Pastoral",176.212236339448,-38.0823617836286,"Indeterminate","0-1% improving",116
"106",106,"EBOP-00010",114,109,116,"Pastoral",176.212236339448,-38.0823617836286,"Indeterminate","0-1% improving",116
"107",107,"EBOP-00010",108,245,108,"Pastoral",176.212236339448,-38.0823617836286,"Improving","0-1% improving",116
"108",108,"EBOP-00010",243,116,116,"Pastoral",176.212236339448,-38.0823617836286,"Indeterminate","0-1% improving",116
"109",109,"EBOP-00010",108,109,238,"Pastoral",176.212236339448,-38.0823617836286,"Improving","0-1% improving",116
"110",110,"EBOP-00010",243,245,238,"Pastoral",176.212236339448,-38.0823617836286,"Improving","0-1% improving",116
"111",111,"EBOP-00010",114,116,108,"Pastoral",176.212236339448,-38.0823617836286,"Improving","0-1% improving",116
"112",112,"EBOP-00010",114,109,238,"Pastoral",176.212236339448,-38.0823617836286,"Improving","0-1% improving",116
"113",113,"EBOP-00010",243,116,238,"Pastoral",176.212236339448,-38.0823617836286,"Improving","0-1% improving",116
"114",114,"EBOP-00010",108,116,238,"Pastoral",176.212236339448,-38.0823617836286,"Improving","0-1% improving",116
"115",115,"EBOP-00010",108,109,108,"Pastoral",176.212236339448,-38.0823617836286,"Improving","0-1% improving",116
"116",116,"EBOP-00010",243,109,116,"Pastoral",176.212236339448,-38.0823617836286,"Indeterminate","0-1% improving",116
"117",117,"EBOP-00010",243,116,108,"Pastoral",176.212236339448,-38.0823617836286,"Improving","0-1% improving",116
"118",118,"EBOP-00010",114,116,238,"Pastoral",176.212236339448,-38.0823617836286,"Improving","0-1% improving",116
"119",119,"EBOP-00010",108,109,116,"Pastoral",176.212236339448,-38.0823617836286,"Indeterminate","0-1% improving",116
"120",120,"EBOP-00010",108,116,116,"Pastoral",176.212236339448,-38.0823617836286,"Indeterminate","0-1% improving",116
"121",121,"EBOP-00012",247,119,110,"Pastoral",176.331334024599,-38.04374524973,"Improving","0-1% improving",119
"122",122,"EBOP-00012",117,110,119,"Pastoral",176.331334024599,-38.04374524973,"Improving",">2% improving",119
"123",123,"EBOP-00012",117,110,110,"Pastoral",176.331334024599,-38.04374524973,"Improving","0-1% improving",119
"124",124,"EBOP-00012",247,110,243,"Pastoral",176.331334024599,-38.04374524973,"Improving",">2% improving",119
"125",125,"EBOP-00012",117,110,243,"Pastoral",176.331334024599,-38.04374524973,"Improving",">2% improving",119
"126",126,"EBOP-00012",247,110,119,"Pastoral",176.331334024599,-38.04374524973,"Improving",">2% improving",119
"127",127,"EBOP-00012",117,249,243,"Pastoral",176.331334024599,-38.04374524973,"Improving",">2% improving",119
"128",128,"EBOP-00012",117,249,119,"Pastoral",176.331334024599,-38.04374524973,"Improving",">2% improving",119
"129",129,"EBOP-00012",108,119,110,"Pastoral",176.331334024599,-38.04374524973,"Improving","0-1% improving",119
"130",130,"EBOP-00012",117,249,110,"Pastoral",176.331334024599,-38.04374524973,"Improving","0-1% improving",119
"131",131,"EBOP-00012",247,249,119,"Pastoral",176.331334024599,-38.04374524973,"Improving",">2% improving",119
"132",132,"EBOP-00012",108,249,110,"Pastoral",176.331334024599,-38.04374524973,"Improving","0-1% improving",119
"133",133,"EBOP-00012",247,119,243,"Pastoral",176.331334024599,-38.04374524973,"Improving",">2% improving",119
"134",134,"EBOP-00012",117,119,110,"Pastoral",176.331334024599,-38.04374524973,"Improving","0-1% improving",119
"135",135,"EBOP-00012",247,119,119,"Pastoral",176.331334024599,-38.04374524973,"Improving",">2% improving",119
"136",136,"EBOP-00012",247,249,243,"Pastoral",176.331334024599,-38.04374524973,"Improving",">2% improving",119
"137",137,"EBOP-00012",108,110,243,"Pastoral",176.331334024599,-38.04374524973,"Improving",">2% improving",119
"138",138,"EBOP-00012",108,110,110,"Pastoral",176.331334024599,-38.04374524973,"Improving","0-1% improving",119
