"","num_id","s_id","Turbidity","Nitrogen","dominant_landcover","Longitude","lat","E.Coli","Phosphorus","period","Trend","percent_annual_change"
"1",1,"ARC-00001",39,39,"Native",174.5220565,-36.88883413,39,306,"1990-2017","Improving",">2% improving"
"2",2,"ARC-00001",39,39,"Native",174.5220565,-36.88883413,39,223,"1998-2017","Improving","0-1% improving"
"3",3,"ARC-00001",39,39,"Native",174.5220565,-36.88883413,39,39,"2008-2017","Indeterminate",">2% worsening"
"4",4,"ARC-00003",40,40,"Pastoral",174.5604402,-36.7765388,40,40,"2008-2017","Indeterminate",">2% improving"
"5",5,"ARC-00003",40,40,"Pastoral",174.5604402,-36.7765388,40,221,"1998-2017","Improving","1-2% improving"
"6",6,"ARC-00004",117,117,"Urban area",174.696142,-36.72304159,117,238,"1998-2017","Improving",">2% improving"
"7",7,"ARC-00004",117,117,"Urban area",174.696142,-36.72304159,117,117,"2008-2017","Improving",">2% improving"
"8",8,"ARC-00005",40,40,"Exotic forest",174.6486618,-36.44855751,40,227,"1998-2017","Improving",">2% improving"
"9",9,"ARC-00005",40,40,"Exotic forest",174.6486618,-36.44855751,40,40,"2008-2017","Indeterminate","0-1% improving"
"10",10,"ARC-00006",40,220,"Pastoral",174.6600469,-36.39952481,40,220,"1998-2017","Improving",">2% improving"
"11",11,"ARC-00006",40,220,"Pastoral",174.6600469,-36.39952481,40,40,"2008-2017","Indeterminate","0-1% worsening"
"12",12,"ARC-00006",40,40,"Pastoral",174.6600469,-36.39952481,40,220,"1998-2017","Improving",">2% improving"
"13",13,"ARC-00006",40,40,"Pastoral",174.6600469,-36.39952481,40,40,"2008-2017","Indeterminate","0-1% worsening"
"14",14,"ARC-00008",40,40,"Pastoral",174.7105353,-36.3445107699999,40,40,"2008-2017","Indeterminate",">2% improving"
"15",15,"ARC-00008",40,40,"Pastoral",174.7105353,-36.3445107699999,40,311,"1990-2017","Improving",">2% improving"
"16",16,"ARC-00008",40,40,"Pastoral",174.7105353,-36.3445107699999,40,228,"1998-2017","Improving","0-1% improving"
"17",17,"ARC-00009",117,117,"Pastoral",174.9736209,-37.1954243299999,117,117,"2008-2017","Indeterminate","1-2% improving"
"18",18,"ARC-00009",117,117,"Pastoral",174.9736209,-37.1954243299999,117,244,"1998-2017","Improving",">2% improving"
"19",19,"ARC-00010",117,117,"Urban area",174.7050507,-36.87500973,117,117,"2008-2017","Improving",">2% improving"
"20",20,"ARC-00010",117,117,"Urban area",174.7050507,-36.87500973,117,243,"1998-2017","Improving","1-2% improving"
"21",21,"ARC-00011",118,118,"Pastoral",174.6946043,-36.6851517,118,118,"2008-2017","Indeterminate","0-1% improving"
"22",22,"ARC-00013",40,40,"Urban area",174.5946546,-36.89506569,40,317,"1990-2017","Improving",">2% improving"
"23",23,"ARC-00013",40,40,"Urban area",174.5946546,-36.89506569,40,234,"1998-2017","Improving",">2% improving"
"24",24,"ARC-00013",40,40,"Urban area",174.5946546,-36.89506569,40,40,"2008-2017","Indeterminate",">2% improving"
"25",25,"ARC-00014",118,118,"Urban area",174.8457406,-36.9668253199999,118,246,"1998-2017","Worsening","1-2% worsening"
"26",26,"ARC-00014",118,118,"Urban area",174.8457406,-36.9668253199999,118,118,"2008-2017","Worsening",">2% worsening"
"27",27,"ARC-00014",118,118,"Urban area",174.8457406,-36.9668253199999,118,101,"1990-2017","Indeterminate","0-1% improving"
"28",28,"ARC-00014",118,247,"Urban area",174.8457406,-36.9668253199999,118,118,"2008-2017","Worsening",">2% worsening"
"29",29,"ARC-00014",118,247,"Urban area",174.8457406,-36.9668253199999,118,101,"1990-2017","Indeterminate","0-1% improving"
"30",30,"ARC-00014",118,247,"Urban area",174.8457406,-36.9668253199999,118,246,"1998-2017","Worsening","1-2% worsening"
"31",31,"ARC-00015",119,247,"Urban area",174.8806567,-36.96340205,119,319,"1990-2017","Improving",">2% improving"
"32",32,"ARC-00015",119,318,"Urban area",174.8806567,-36.96340205,119,319,"1990-2017","Improving",">2% improving"
"33",33,"ARC-00015",119,247,"Urban area",174.8806567,-36.96340205,119,246,"1998-2017","Improving",">2% improving"
"34",34,"ARC-00015",119,318,"Urban area",174.8806567,-36.96340205,119,119,"2008-2017","Improving",">2% improving"
"35",35,"ARC-00015",119,118,"Urban area",174.8806567,-36.96340205,119,246,"1998-2017","Improving",">2% improving"
"36",36,"ARC-00015",119,118,"Urban area",174.8806567,-36.96340205,119,319,"1990-2017","Improving",">2% improving"
"37",37,"ARC-00015",119,118,"Urban area",174.8806567,-36.96340205,119,119,"2008-2017","Improving",">2% improving"
"38",38,"ARC-00015",119,247,"Urban area",174.8806567,-36.96340205,119,119,"2008-2017","Improving",">2% improving"
"39",39,"ARC-00015",119,318,"Urban area",174.8806567,-36.96340205,119,246,"1998-2017","Improving",">2% improving"
"40",40,"ARC-00016",120,120,"Urban area",174.8907199,-36.95566215,120,307,"1990-2017","Improving",">2% improving"
"41",41,"ARC-00016",120,120,"Urban area",174.8907199,-36.95566215,120,247,"1998-2017","Improving",">2% improving"
"42",42,"ARC-00016",120,120,"Urban area",174.8907199,-36.95566215,120,120,"2008-2017","Improving",">2% improving"
"43",43,"ARC-00017",117,117,"Urban area",174.6947376,-36.73199419,117,117,"2008-2017","Indeterminate","0-1% improving"
"44",44,"ARC-00017",117,117,"Urban area",174.6947376,-36.73199419,117,238,"1998-2017","Improving",">2% improving"
"45",45,"ARC-00017",117,117,"Urban area",174.6947376,-36.73199419,117,321,"1990-2017","Improving",">2% improving"
"46",46,"ARC-00018",119,119,"Urban area",174.9080664,-36.9135907199999,119,101,"1990-2017","Improving",">2% improving"
"47",47,"ARC-00018",119,247,"Urban area",174.9080664,-36.9135907199999,119,101,"1990-2017","Improving",">2% improving"
"48",48,"ARC-00018",119,247,"Urban area",174.9080664,-36.9135907199999,119,119,"2008-2017","Improving",">2% improving"
"49",49,"ARC-00018",119,119,"Urban area",174.9080664,-36.9135907199999,119,119,"2008-2017","Improving",">2% improving"
"50",50,"ARC-00018",119,247,"Urban area",174.9080664,-36.9135907199999,119,246,"1998-2017","Improving",">2% improving"
"51",51,"ARC-00018",119,119,"Urban area",174.9080664,-36.9135907199999,119,246,"1998-2017","Improving",">2% improving"
"52",52,"ARC-00019",119,119,"Urban area",174.9029491,-36.93350176,119,246,"1998-2017","Improving","1-2% improving"
"53",53,"ARC-00019",119,248,"Urban area",174.9029491,-36.93350176,119,246,"1998-2017","Improving","1-2% improving"
"54",54,"ARC-00019",119,119,"Urban area",174.9029491,-36.93350176,119,119,"2008-2017","Indeterminate","0-1% worsening"
"55",55,"ARC-00019",119,248,"Urban area",174.9029491,-36.93350176,119,101,"1990-2017","Improving",">2% improving"
"56",56,"ARC-00019",119,248,"Urban area",174.9029491,-36.93350176,119,119,"2008-2017","Indeterminate","0-1% worsening"
"57",57,"ARC-00019",119,119,"Urban area",174.9029491,-36.93350176,119,101,"1990-2017","Improving",">2% improving"
"58",58,"ARC-00021",117,117,"Pastoral",174.9251679,-37.02798781,116,117,"2008-2017","Improving",">2% improving"
"59",59,"ARC-00021",117,117,"Pastoral",174.9251679,-37.02798781,116,245,"1998-2017","Indeterminate","0-1% improving"
"60",60,"ARC-00022",117,117,"Urban area",174.8703457,-36.9927674899999,117,117,"2008-2017","Improving",">2% improving"
"61",61,"ARC-00022",117,117,"Urban area",174.8703457,-36.9927674899999,117,244,"1998-2017","Improving","1-2% improving"
"62",62,"ARC-00024",118,118,"Pastoral",174.739454,-36.68438762,118,118,"2008-2017","Indeterminate","1-2% improving"
"63",63,"ARC-00026",40,40,"Pastoral",174.6606423,-36.5508813999999,40,40,"2008-2017","Improving",">2% improving"
"64",64,"ARC-00026",40,40,"Pastoral",174.6606423,-36.5508813999999,40,227,"1998-2017","Improving","1-2% improving"
"65",65,"ARC-00026",40,40,"Pastoral",174.6606423,-36.5508813999999,40,311,"1990-2017","Improving",">2% improving"
"66",66,"ARC-00027",118,118,"Pastoral",174.6577235,-36.5784597499999,118,118,"2008-2017","Indeterminate",">2% improving"
"67",67,"ARC-00028",36,36,"Pastoral",174.7398286,-37.2270569999999,36,36,"2008-2017","Indeterminate","1-2% worsening"
"68",68,"ARC-00029",36,36,"Pastoral",174.8424849,-37.17048948,36,36,"2008-2017","Worsening",">2% worsening"
"69",69,"ARC-00030",36,36,"Native",175.1007314,-37.09236018,36,36,"2008-2017","Indeterminate","0-1% worsening"
"70",70,"ARC-00031",36,36,"Exotic forest",174.5357421,-36.7359823599999,36,36,"2008-2017","Indeterminate",">2% worsening"
"71",71,"ARC-00033",36,36,"Pastoral",174.5213655,-36.55759883,36,36,"2008-2017","Indeterminate",">2% improving"
"72",72,"ARC-00034",108,108,"Urban area",174.86288,-36.88050847,108,108,"2008-2017","Indeterminate","1-2% worsening"
"73",73,"CCC-00001",119,36,"Urban area",172.607143039645,-43.5205388507386,119,116,"2008-2017","Indeterminate","0-1% worsening"
"74",74,"CCC-00002",119,36,"Urban area",172.606912800299,-43.5217171712234,118,117,"2008-2017","Indeterminate","0-1% worsening"
"75",75,"CCC-00003",119,36,"Urban area",172.608167139613,-43.5228555508091,119,117,"2008-2017","Indeterminate","0-1% improving"
"76",76,"CCC-00005",111,36,"Urban area",172.616582809408,-43.5319746913629,111,37,"2008-2017","Indeterminate","0-1% worsening"
"77",77,"CCC-00006",111,36,"Urban area",172.621618409949,-43.5338815106614,111,108,"2008-2017","Worsening",">2% worsening"
"78",78,"CCC-00007",111,36,"Urban area",172.639752459984,-43.5280441411019,111,108,"2008-2017","Indeterminate","1-2% improving"
"79",79,"CCC-00008",111,108,"Urban area",172.660679760413,-43.5130764610211,111,109,"2008-2017","Indeterminate","0-1% worsening"
"80",80,"CCC-00009",119,36,"Urban area",172.672840599418,-43.5215813613539,120,117,"2008-2017","Indeterminate","0-1% worsening"
"81",81,"CCC-00010",111,108,"Urban area",172.682610700532,-43.5028421811862,111,109,"2008-2017","Indeterminate",">2% improving"
"82",82,"CCC-00012",120,36,"Urban area",172.721444749668,-43.5092882811924,120,117,"2008-2017","Improving",">2% improving"
"83",83,"CCC-00013",118,36,"Urban area",172.723932149484,-43.5252884612488,118,116,"2008-2017","Improving",">2% improving"
"84",84,"CCC-00022",120,108,"Urban area",172.643315069598,-43.5703855413648,119,120,"2008-2017","Improving",">2% improving"
"85",85,"CCC-00023",120,108,"Urban area",172.666603039551,-43.5539299813105,119,120,"2008-2017","Improving",">2% improving"
"86",86,"CCC-00026",120,36,"Urban area",172.691399960458,-43.5546470308336,119,120,"2008-2017","Improving",">2% improving"
"87",87,"CCC-00027",120,36,"Urban area",172.708931450575,-43.558238810833,119,120,"2008-2017","Improving",">2% improving"
"88",88,"CCC-00039",36,108,"Pastoral",172.60298596014,-43.4523965510645,36,110,"2008-2017","Indeterminate","0-1% worsening"
"89",89,"CCC-00041",120,119,"Urban area",172.702286810073,-43.5503283405566,120,120,"2008-2017","Improving",">2% improving"
"90",90,"EBOP-00003",37,37,"Pastoral",176.391024996516,-37.8381825623138,37,37,"2008-2017","Indeterminate","0-1% worsening"
"91",91,"EBOP-00005",115,115,"Pastoral",176.10905100685,-37.7345190847611,116,116,"2008-2017","Worsening",">2% worsening"
"92",92,"EBOP-00006",116,116,"Pastoral",176.151710788233,-37.6981654963477,117,117,"2008-2017","Worsening",">2% worsening"
"93",93,"EBOP-00007",119,118,"Pastoral",176.344899232591,-38.0171952726902,116,118,"2008-2017","Indeterminate","0-1% worsening"
"94",94,"EBOP-00010",116,238,"Pastoral",176.212236339448,-38.0823617836286,243,245,"1998-2017","Worsening","1-2% worsening"
"95",95,"EBOP-00010",116,238,"Pastoral",176.212236339448,-38.0823617836286,114,109,"1990-2017","Worsening","1-2% worsening"
"96",96,"EBOP-00010",116,238,"Pastoral",176.212236339448,-38.0823617836286,108,109,"1990-2017","Worsening","1-2% worsening"
