"","num_id","s_id","Turbidity","Nitrogen","dominant_landcover","Longitude","lat","E.Coli","Phosphorus","period","Trend","percent_annual_change"
"3",3,"ARC-00001",39,39,"Native",174.5220565,-36.88883413,39,39,"2008-2017","Indeterminate",">2% worsening"
"4",4,"ARC-00003",40,40,"Pastoral",174.5604402,-36.7765388,40,40,"2008-2017","Indeterminate",">2% improving"
"7",7,"ARC-00004",117,117,"Urban area",174.696142,-36.72304159,117,117,"2008-2017","Improving",">2% improving"
"9",9,"ARC-00005",40,40,"Exotic forest",174.6486618,-36.44855751,40,40,"2008-2017","Indeterminate","0-1% improving"
"11",11,"ARC-00006",40,220,"Pastoral",174.6600469,-36.39952481,40,40,"2008-2017","Indeterminate","0-1% worsening"
"13",13,"ARC-00006",40,40,"Pastoral",174.6600469,-36.39952481,40,40,"2008-2017","Indeterminate","0-1% worsening"
"14",14,"ARC-00008",40,40,"Pastoral",174.7105353,-36.3445107699999,40,40,"2008-2017","Indeterminate",">2% improving"
"17",17,"ARC-00009",117,117,"Pastoral",174.9736209,-37.1954243299999,117,117,"2008-2017","Indeterminate","1-2% improving"
"19",19,"ARC-00010",117,117,"Urban area",174.7050507,-36.87500973,117,117,"2008-2017","Improving",">2% improving"
"21",21,"ARC-00011",118,118,"Pastoral",174.6946043,-36.6851517,118,118,"2008-2017","Indeterminate","0-1% improving"
"24",24,"ARC-00013",40,40,"Urban area",174.5946546,-36.89506569,40,40,"2008-2017","Indeterminate",">2% improving"
"26",26,"ARC-00014",118,118,"Urban area",174.8457406,-36.9668253199999,118,118,"2008-2017","Worsening",">2% worsening"
"28",28,"ARC-00014",118,247,"Urban area",174.8457406,-36.9668253199999,118,118,"2008-2017","Worsening",">2% worsening"
"34",34,"ARC-00015",119,318,"Urban area",174.8806567,-36.96340205,119,119,"2008-2017","Improving",">2% improving"
"37",37,"ARC-00015",119,118,"Urban area",174.8806567,-36.96340205,119,119,"2008-2017","Improving",">2% improving"
"38",38,"ARC-00015",119,247,"Urban area",174.8806567,-36.96340205,119,119,"2008-2017","Improving",">2% improving"
"42",42,"ARC-00016",120,120,"Urban area",174.8907199,-36.95566215,120,120,"2008-2017","Improving",">2% improving"
"43",43,"ARC-00017",117,117,"Urban area",174.6947376,-36.73199419,117,117,"2008-2017","Indeterminate","0-1% improving"
"48",48,"ARC-00018",119,247,"Urban area",174.9080664,-36.9135907199999,119,119,"2008-2017","Improving",">2% improving"
"49",49,"ARC-00018",119,119,"Urban area",174.9080664,-36.9135907199999,119,119,"2008-2017","Improving",">2% improving"
"54",54,"ARC-00019",119,119,"Urban area",174.9029491,-36.93350176,119,119,"2008-2017","Indeterminate","0-1% worsening"
"56",56,"ARC-00019",119,248,"Urban area",174.9029491,-36.93350176,119,119,"2008-2017","Indeterminate","0-1% worsening"
"58",58,"ARC-00021",117,117,"Pastoral",174.9251679,-37.02798781,116,117,"2008-2017","Improving",">2% improving"
"60",60,"ARC-00022",117,117,"Urban area",174.8703457,-36.9927674899999,117,117,"2008-2017","Improving",">2% improving"
"62",62,"ARC-00024",118,118,"Pastoral",174.739454,-36.68438762,118,118,"2008-2017","Indeterminate","1-2% improving"
"63",63,"ARC-00026",40,40,"Pastoral",174.6606423,-36.5508813999999,40,40,"2008-2017","Improving",">2% improving"
"66",66,"ARC-00027",118,118,"Pastoral",174.6577235,-36.5784597499999,118,118,"2008-2017","Indeterminate",">2% improving"
"67",67,"ARC-00028",36,36,"Pastoral",174.7398286,-37.2270569999999,36,36,"2008-2017","Indeterminate","1-2% worsening"
"68",68,"ARC-00029",36,36,"Pastoral",174.8424849,-37.17048948,36,36,"2008-2017","Worsening",">2% worsening"
"69",69,"ARC-00030",36,36,"Native",175.1007314,-37.09236018,36,36,"2008-2017","Indeterminate","0-1% worsening"
"70",70,"ARC-00031",36,36,"Exotic forest",174.5357421,-36.7359823599999,36,36,"2008-2017","Indeterminate",">2% worsening"
"71",71,"ARC-00033",36,36,"Pastoral",174.5213655,-36.55759883,36,36,"2008-2017","Indeterminate",">2% improving"
"72",72,"ARC-00034",108,108,"Urban area",174.86288,-36.88050847,108,108,"2008-2017","Indeterminate","1-2% worsening"
"73",73,"CCC-00001",119,36,"Urban area",172.607143039645,-43.5205388507386,119,116,"2008-2017","Indeterminate","0-1% worsening"
"74",74,"CCC-00002",119,36,"Urban area",172.606912800299,-43.5217171712234,118,117,"2008-2017","Indeterminate","0-1% worsening"
"75",75,"CCC-00003",119,36,"Urban area",172.608167139613,-43.5228555508091,119,117,"2008-2017","Indeterminate","0-1% improving"
"76",76,"CCC-00005",111,36,"Urban area",172.616582809408,-43.5319746913629,111,37,"2008-2017","Indeterminate","0-1% worsening"
"77",77,"CCC-00006",111,36,"Urban area",172.621618409949,-43.5338815106614,111,108,"2008-2017","Worsening",">2% worsening"
"78",78,"CCC-00007",111,36,"Urban area",172.639752459984,-43.5280441411019,111,108,"2008-2017","Indeterminate","1-2% improving"
"79",79,"CCC-00008",111,108,"Urban area",172.660679760413,-43.5130764610211,111,109,"2008-2017","Indeterminate","0-1% worsening"
"80",80,"CCC-00009",119,36,"Urban area",172.672840599418,-43.5215813613539,120,117,"2008-2017","Indeterminate","0-1% worsening"
"81",81,"CCC-00010",111,108,"Urban area",172.682610700532,-43.5028421811862,111,109,"2008-2017","Indeterminate",">2% improving"
