num_id,s_id,E.Coli,Phosphorus,Nitrogen,dominant_landcover,Longitude,Latitude,Trend,percent_annual_change,Turbidity
1,ARC-00001,39,306,39,Native,174.5220565,-36.88883413,Improving,>2% improving,39
2,ARC-00001,39,223,39,Native,174.5220565,-36.88883413,Improving,>2% improving,39
3,ARC-00001,39,39,39,Native,174.5220565,-36.88883413,Improving,>2% improving,39
4,ARC-00003,40,40,40,Pastoral,174.5604402,-36.7765388,Improving,>2% improving,40
5,ARC-00003,40,221,40,Pastoral,174.5604402,-36.7765388,Improving,>2% improving,40
6,ARC-00004,117,238,117,Urban area,174.696142,-36.72304159,Improving,>2% improving,117
7,ARC-00004,117,117,117,Urban area,174.696142,-36.72304159,Improving,>2% improving,117
8,ARC-00005,40,227,40,Exotic forest,174.6486618,-36.44855751,Indeterminate,>2% improving,40
9,ARC-00005,40,40,40,Exotic forest,174.6486618,-36.44855751,Indeterminate,>2% improving,40
10,ARC-00006,40,40,40,Pastoral,174.6600469,-36.39952481,Improving,>2% improving,40
11,ARC-00006,40,40,220,Pastoral,174.6600469,-36.39952481,Worsening,>2% worsening,40
12,ARC-00006,40,220,40,Pastoral,174.6600469,-36.39952481,Improving,>2% improving,40
13,ARC-00006,40,220,220,Pastoral,174.6600469,-36.39952481,Worsening,>2% worsening,40
14,ARC-00008,40,40,40,Pastoral,174.7105353,-36.34451077,Improving,>2% improving,40
15,ARC-00008,40,311,40,Pastoral,174.7105353,-36.34451077,Improving,>2% improving,40
16,ARC-00008,40,228,40,Pastoral,174.7105353,-36.34451077,Improving,>2% improving,40
17,ARC-00009,117,117,117,Pastoral,174.9736209,-37.19542433,Worsening,1-2% worsening,117
18,ARC-00009,117,244,117,Pastoral,174.9736209,-37.19542433,Worsening,1-2% worsening,117
19,ARC-00010,117,117,117,Urban area,174.7050507,-36.87500973,Improving,>2% improving,117
20,ARC-00010,117,243,117,Urban area,174.7050507,-36.87500973,Improving,>2% improving,117
21,ARC-00011,118,118,118,Pastoral,174.6946043,-36.6851517,Improving,>2% improving,118
22,ARC-00013,40,317,40,Urban area,174.5946546,-36.89506569,Improving,>2% improving,40
23,ARC-00013,40,234,40,Urban area,174.5946546,-36.89506569,Improving,>2% improving,40
24,ARC-00013,40,40,40,Urban area,174.5946546,-36.89506569,Improving,>2% improving,40
25,ARC-00014,118,118,118,Urban area,174.8457406,-36.96682532,Indeterminate,0-1% worsening,118
26,ARC-00014,118,101,247,Urban area,174.8457406,-36.96682532,Worsening,>2% worsening,118
27,ARC-00014,118,101,118,Urban area,174.8457406,-36.96682532,Indeterminate,0-1% worsening,118
28,ARC-00014,118,246,118,Urban area,174.8457406,-36.96682532,Indeterminate,0-1% worsening,118
29,ARC-00014,118,118,247,Urban area,174.8457406,-36.96682532,Worsening,>2% worsening,118
30,ARC-00014,118,246,247,Urban area,174.8457406,-36.96682532,Worsening,>2% worsening,118
31,ARC-00015,119,319,247,Urban area,174.8806567,-36.96340205,Indeterminate,0-1% improving,119
32,ARC-00015,119,119,247,Urban area,174.8806567,-36.96340205,Indeterminate,0-1% improving,119
